Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,AD/average,Replicate ,Mutant,Condition ,Hour after treatment 
procat_T2h_csp_1,RMV8_PRCI_AB,UNKNOWN,SYBR,None,9.354,9.192,0.425,"55,503,280.00","64,086,880.00",0.009982574,1,procat,csp,2
procat_T2h_csp_1,RMV8_PRCI_AB,UNKNOWN,SYBR,None,8.71,9.192,0.425,"87,083,416.00","64,086,880.00",0.011005956,1,procat,csp,2
procat_2h_csp_2,RMV8_PRCI_AD,UNKNOWN,SYBR,None,16.143,16.14,0.084,"335,025.03","336,095.47",,2,procat,csp,2
procat_2h_csp_2,RMV8_PRCI_AD,UNKNOWN,SYBR,None,16.222,16.14,0.084,"317,349.13","336,095.47",,2,procat,csp,2
procat_2h_csp_2,RMV8_PRCI_AD,UNKNOWN,SYBR,None,16.054,16.14,0.084,"355,912.19","336,095.47",,2,procat,csp,2
procat_T2h_csp_2,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.139,9.966,0.156,"32,042,872.00","36,305,252.00",0.009228005,2,procat,csp,2
procat_T2h_csp_2,RMV8_PRCI_AB,UNKNOWN,SYBR,None,9.925,9.966,0.156,"37,232,984.00","36,305,252.00",0.008741135,2,procat,csp,2
procat_T2h_csp_2,RMV8_PRCI_AB,UNKNOWN,SYBR,None,9.835,9.966,0.156,"39,639,904.00","36,305,252.00",0.009803325,2,procat,csp,2
procat_2h_csp_3,RMV8_PRCI_AD,UNKNOWN,SYBR,None,14.476,14.531,0.062,"1,041,938.25","1,004,236.81",,3,procat,csp,2
procat_2h_csp_3,RMV8_PRCI_AD,UNKNOWN,SYBR,None,14.519,14.531,0.062,"1,012,329.88","1,004,236.81",,3,procat,csp,2
procat_2h_csp_3,RMV8_PRCI_AD,UNKNOWN,SYBR,None,14.599,14.531,0.062,"958,442.50","1,004,236.81",,3,procat,csp,2
procat_T2h_csp_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.601,10.534,0.094,"23,195,500.00","24,340,976.00",0.042805936,3,procat,csp,2
procat_T2h_csp_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.427,10.534,0.094,"26,204,782.00","24,340,976.00",0.041589535,3,procat,csp,2
procat_T2h_csp_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.575,10.534,0.094,"23,622,640.00","24,340,976.00",0.039375681,3,procat,csp,2
