Sample,gene_name,Locus,Scaled reads per base,tpm,Genotype,Timepoint
ERS3382242,hsdS_2,IONPJBJN_00013,3407.67172077797,57.0445191447392,tvr_rare,Pre-CSP
ERS3382243,hsdS_2,IONPJBJN_00013,4532.15548589484,77.0409156592428,tvr_rare,10 min post-CSP
ERS3382244,hsdS_2,IONPJBJN_00013,4626.17991867463,80.3388883034306,tvr_rare,20 min post-CSP
ERS3382227,NA,IONPJBJN_00014,507.336801260831,321.116020656203,tvr_domi,Pre-CSP
ERS3382228,NA,IONPJBJN_00014,738.57342630182,506.340548348004,tvr_domi,10 min post-CSP
ERS3382229,NA,IONPJBJN_00014,676.588504134536,455.350845173049,tvr_domi,20 min post-CSP
ERS3382230,NA,IONPJBJN_00014,402.578210321052,284.273665638678,tvr_rare,Pre-CSP
ERS3382231,NA,IONPJBJN_00014,334.863754263156,227.935020659634,tvr_rare,10 min post-CSP
ERS3382232,NA,IONPJBJN_00014,313.040848510053,208.032085047144,tvr_rare,20 min post-CSP
ERS3382233,NA,IONPJBJN_00014,441.646565930741,306.76334593172,tvr_domi,Pre-CSP
ERS3382234,NA,IONPJBJN_00014,349.267600643686,232.668964162366,tvr_domi,10 min post-CSP
ERS3382235,NA,IONPJBJN_00014,410.293977489749,289.023758456663,tvr_domi,20 min post-CSP
ERS3382236,NA,IONPJBJN_00014,402.971763475715,262.496018069351,tvr_rare,Pre-CSP
ERS3382237,NA,IONPJBJN_00014,320.121169791013,212.072546311837,tvr_rare,10 min post-CSP
ERS3382238,NA,IONPJBJN_00014,295.76238744286,198.590019621547,tvr_rare,20 min post-CSP
ERS3382239,NA,IONPJBJN_00014,364.137444345457,246.93039811679,tvr_domi,Pre-CSP
ERS3382240,NA,IONPJBJN_00014,454.478353057059,303.294051353755,tvr_domi,10 min post-CSP
ERS3382241,NA,IONPJBJN_00014,403.842112960722,271.688229690027,tvr_domi,20 min post-CSP
ERS3382242,NA,IONPJBJN_00014,472.401413089051,318.510881421186,tvr_rare,Pre-CSP
ERS3382243,NA,IONPJBJN_00014,338.371122269694,229.635289393423,tvr_rare,10 min post-CSP
ERS3382244,NA,IONPJBJN_00014,319.997973099521,188.370588216104,tvr_rare,20 min post-CSP
ERS3382227,glnA_2,IONPJBJN_00015,21895.2068086996,350.190850805732,tvr_domi,Pre-CSP
ERS3382228,glnA_2,IONPJBJN_00015,32634.8531348518,510.977693515811,tvr_domi,10 min post-CSP
ERS3382229,glnA_2,IONPJBJN_00015,27514.1807460573,424.123523504049,tvr_domi,20 min post-CSP
ERS3382230,glnA_2,IONPJBJN_00015,12693.4841671917,195.807436922979,tvr_rare,Pre-CSP
ERS3382231,glnA_2,IONPJBJN_00015,7667.5327807047,121.433929900062,tvr_rare,10 min post-CSP
ERS3382232,glnA_2,IONPJBJN_00015,6965.15887934868,110.310711245679,tvr_rare,20 min post-CSP
ERS3382233,glnA_2,IONPJBJN_00015,14523.3019614291,230.305700620954,tvr_domi,Pre-CSP
ERS3382234,glnA_2,IONPJBJN_00015,14688.0722839323,236.917128516423,tvr_domi,10 min post-CSP
ERS3382235,glnA_2,IONPJBJN_00015,19474.0679073765,302.306066871052,tvr_domi,20 min post-CSP
ERS3382236,glnA_2,IONPJBJN_00015,14195.8970706165,219.582491696991,tvr_rare,Pre-CSP
ERS3382237,glnA_2,IONPJBJN_00015,8253.09619735444,131.394856730626,tvr_rare,10 min post-CSP
